,bathrooms,bedrooms,finishedsqft,numrooms,yearbuilt,price,trans_score,walkscore_score
127,1.75,2,900,,2011,700000,52.0,89.0
128,1.5,2,839,,2015,499000,52.0,97.0
129,2.0,2,1194,,2008,549950,53.0,97.0
130,3.0,4,2472,7,1929,422000,50.0,54.0
131,2.0,5,2388,,,579000,55.0,54.0
132,3.0,5,2690,10,1924,409000,57.0,70.0
133,3.0,3,2330,,2006,559900,53.0,57.0
134,2.0,6,1940,,1931,400000,53.0,64.0
135,3.5,6,3280,,1992,,58.0,52.0
136,2.0,5,2020,,1918,,47.0,63.0
137,3.5,4,2440,9,2007,600000,52.0,62.0
138,3.5,3,2380,,1990,575000,53.0,57.0
139,1.0,2,890,4,1946,350000,56.0,46.0
140,1.5,3,1850,,1907,,49.0,73.0
141,2.5,3,1630,,2009,480000,63.0,76.0
142,1.0,3,1630,,1944,,54.0,52.0
143,1.5,3,1410,,1946,,60.0,76.0
144,1.0,2,1010,,1944,,61.0,67.0
145,1.0,3,1720,,1915,,50.0,65.0
146,3.5,5,1820,7,1995,,63.0,76.0
147,1.75,4,2000,,1959,,56.0,76.0
148,2.75,4,1980,9,1966,619950,31.0,23.0
149,1.5,1,1368,7,2009,725000,59.0,95.0
150,1.75,5,1910,,1956,519000,36.0,26.0
151,2.75,4,3060,,1979,650000,33.0,4.0
152,1.5,3,1290,,1954,480000,40.0,41.0
153,3.25,4,1900,,1954,599950,49.0,47.0
154,2.5,3,2640,7,1913,,57.0,72.0
155,3.5,4,3026,,2012,1500000,0.0,9.0
156,4.0,4,2840,,1960,708000,34.0,48.0
157,2.0,2,1030,5,1973,299000,46.0,75.0
158,2.75,4,3210,,1959,749000,28.0,16.0
159,1.75,2,1051,,1980,239000,51.0,36.0
160,1.5,2,697,,1987,250000,63.0,81.0
161,1.75,2,962,7,1980,299999,44.0,47.0
162,2.5,5,3200,13,1970,750000,26.0,13.0
163,2.5,4,2310,,1966,895000,0.0,5.0
164,2.75,3,2640,9,1973,700000,32.0,20.0
165,1.75,2,895,,1975,329990,47.0,80.0
166,2.5,3,2220,,1983,800000,41.0,37.0
167,5.0,6,4800,13,1997,,29.0,31.0
168,1.0,2,842,,1987,289000,44.0,26.0
169,3.5,5,3430,,1978,980000,0.0,8.0
170,1.0,1,686,3,1975,140000,0.0,42.0
171,2.5,2,2100,,1977,2280000,0.0,19.0
172,2.5,4,2553,,1987,935000,30.0,21.0
173,1.0,3,1280,,1955,439500,52.0,22.0
174,2.5,4,3420,,1989,799950,23.0,45.0
175,2.25,3,1430,,1974,590000,33.0,3.0
176,3.0,4,2540,,1975,,40.0,21.0
177,4.5,6,4652,23,1977,1099000,33.0,22.0
178,1.0,3,1400,,1910,,62.0,81.0
179,3.0,4,2110,,1959,549800,29.0,17.0
180,1.75,2,1115,,1975,285000,47.0,61.0
181,1.0,1,720,,2008,399000,59.0,89.0
182,2.0,3,1760,,1958,,37.0,25.0
183,4.5,5,5230,,2008,2500000,50.0,35.0
184,2.0,2,885,,1990,242500,45.0,7.0
185,1.75,3,1930,,1957,590000,40.0,21.0
186,2.0,4,1800,,1969,550000,40.0,19.0
