,zpid,street,city,state,zipcode
370,49099139,2001 Westlake Ave N UNIT 34,Seattle,WA,98109
371,92569158,1920 4th Ave UNIT 2407,Seattle,WA,98101
372,65227525,2717 Western Ave APT 1120,Seattle,WA,98121
373,49114645,829 21st Ave,Seattle,WA,98122
374,48936683,8526 2nd Ave NE,Seattle,WA,98115
375,2101780487,588 Bell St UNIT 311,Seattle,WA,98121
376,48789443,1408 N 36th St,Seattle,WA,98103
377,49015134,3040 11th Ave W,Seattle,WA,98119
378,63094902,8503 Interlake Ave N # B,Seattle,WA,98103
379,48963596,911 Nob Hill Ave N,Seattle,WA,98109
380,82365900,901 NE 43rd St APT 107,Seattle,WA,98105
381,2101370549,3304 Fuhrman Ave E # 10,Seattle,WA,98102
382,63925010,11 E Allison St # 3,Seattle,WA,98102
384,65228606,4022 Stone Way N,Seattle,WA,98103
385,48920152,3503 Wallingford Ave N,Seattle,WA,98103
386,49099140,2001 Westlake Ave N UNIT 35,Seattle,WA,98109
387,63335384,63 Etruria St APT C,Seattle,WA,98109
388,49102202,1604 Aurora Ave N,Seattle,WA,98109
389,63335434,3217 Eastlake Ave E,Seattle,WA,98102
390,48928726,4188 42nd Ave NE,Seattle,WA,98105
391,72494668,2423 8th Ave N APT 401,Seattle,WA,98109
392,89209562,2960 Eastlake Ave E APT 204,Seattle,WA,98102
393,88877513,401 9th Ave N APT 101,Seattle,WA,98109
394,80110667,125 Warren Ave N,Seattle,WA,98109
395,80259552,3128 Franklin Ave E # B,Seattle,WA,98102
396,58383114,1400 Hubbell Pl APT 1112,Seattle,WA,98101
397,48861113,912 3rd Ave W APT 503,Seattle,WA,98119
398,96660547,2116 W Ruffner St,Seattle,WA,98199
399,49034868,3430 W Viewmont Way W,Seattle,WA,98199
400,92571423,3841 34th Ave W UNIT B,Seattle,WA,98199
401,49110915,3602 38th Ave W,Seattle,WA,98199
402,48787943,3947 W Barrett Ln,Seattle,WA,98199
403,48855572,3214 43rd Ave W,Seattle,WA,98199
404,48824938,2840 22nd Ave W,Seattle,WA,98199
405,48727148,2844 43rd Ave W,Seattle,WA,98199
406,48824807,3432 23rd Ave W,Seattle,WA,98199
407,48880378,2724 W Blaine St,Seattle,WA,98199
408,48824958,2853 21st Ave W,Seattle,WA,98199
409,96676240,2120 W Ruffner St,Seattle,WA,98199
410,49009891,3037 34th Ave W,Seattle,WA,98199
411,48942946,3611 43rd Ave W,Seattle,WA,98199
412,49009468,3616 34th Ave W,Seattle,WA,98199
413,48825617,2438 W Lynn St,Seattle,WA,98199
414,2101683958,3608 26th Place W #401,Seattle,WA,98199
415,48726265,2323 Perkins Ln W APT A,Seattle,WA,98199
416,48726264,2333 Perkins Ln W,Seattle,WA,98199
417,48942894,3625 Magnolia Blvd W,Seattle,WA,98199
418,2137318473,2120 W Ruffner St,Seattle,WA,98199
419,48943387,2625 28th Ave W,Seattle,WA,98199
420,2108084014,3831 25th Ave W,Seattle,WA,98199
421,48943274,3007 38th Ave W,Seattle,WA,98199
422,49013136,4012 30th Ave W,Seattle,WA,98199
423,48677293,5435 40th Ave W,Seattle,WA,98199
424,48727073,2546 36th Ave W,Seattle,WA,98199
425,48942772,3615 W Fulton St,Seattle,WA,98199
426,48700921,5443 45th Ave W,Seattle,WA,98199
427,48702904,2636 40th Ave W,Seattle,WA,98199
428,48855646,3057 42nd Ave W,Seattle,WA,98199
429,80113356,3045 20th Ave W APT 403,Seattle,WA,98199
430,60972341,3302 W Government Way APT C,Seattle,WA,98199
431,2101457699,14633 Ne 31st St #9B,Bellevue,WA,98007
432,48860728,17431 Ambaum Blvd S UNIT B9,Seattle,WA,98148
434,58382623,23420 SE Black Nugget Rd UNIT A101,Issaquah,WA,98029
435,48975426,200 Mt Pilchuck Ave SW,Issaquah,WA,98027
436,48968662,25125 SE Mirrormont Pl,Issaquah,WA,98027
437,63215234,2351 30th Ave NE,Issaquah,WA,98029
438,2101780481,588 Bell St UNIT 1006,Seattle,WA,98121
439,48727115,2127 33rd Ave W,Seattle,WA,98199
440,49021774,10507 164th Ave NE,Redmond,WA,98052
441,2101331930,6049 139th Ave Ne ##146,Redmond,WA,98052
442,63068291,8814 228th Way NE,Redmond,WA,98053
443,49058586,6448 138th Ave NE APT 402,Redmond,WA,98052
444,48768324,3041 W Lake Sammamish Pkwy NE,Redmond,WA,98052
445,67685592,16275 NE 85th St APT 213,Redmond,WA,98052
446,49043305,2539 174th Ave NE,Redmond,WA,98052
447,2126663308,10729 221st Ln NE,Redmond,WA,98053
448,49058685,6347 137th Ave NE APT 269,Redmond,WA,98052
449,2101998073,8015 145th Ave NE,Redmond,WA,98052
450,49088003,13727 NE 76th Pl,Redmond,WA,98052
451,2144722009,15820 NE 90th Way,Redmond,WA,98052
452,48878822,25206 NE 108th St,Redmond,WA,98053
453,48862322,22316 NE 111th Pl,Redmond,WA,98053
454,2111611867,15971 NE 95th Way,Redmond,WA,98052
455,48817807,24610 NE 126th St,Duvall,WA,98019
456,2145149477,15291 NE 82nd St UNIT 304,Redmond,WA,98052
457,58383945,17112 NE 115th Way,Redmond,WA,98052
458,48807681,16702 NE 128th St,Redmond,WA,98052
459,49068631,6307 151st Ave NE,Redmond,WA,98052
460,48797803,16319 NE 44th Ct,Redmond,WA,98052
461,49033848,9114 159th Pl NE # 403,Redmond,WA,98052
462,92570805,15151 NE 81st Way UNIT 106,Redmond,WA,98052
463,119637573,11727 170th Ct NE,Redmond,WA,98052
464,58386148,7912 170th Ave NE UNIT 305,Redmond,WA,98052
465,48737921,8236 172nd Ave NE,Redmond,WA,98052
466,58759206,5940 189th Pl NE,Redmond,WA,98052
467,49054540,6121 140th Ct NE,Redmond,WA,98052
468,48724246,22528 NE 39th Way,Redmond,WA,98053
469,68016611,23916 NE 115th Ln,Redmond,WA,98053
470,61481453,22627 NE Alder Crest Dr UNIT 203,Redmond,WA,98053
471,2101328787,6741 137th Place Ne #460,Redmond,WA,98052
472,89208698,11042 183rd Pl NE,Redmond,WA,98052
473,70584321,23916 NE 115th Ln,Redmond,WA,98053
474,49088454,4811 158th Ct NE,Redmond,WA,98052
475,48739715,3012 173rd Ct NE,Redmond,WA,98052
476,2101209124,4120 236th Avenue Ne,Redmond,WA,98053
477,49111164,17104 NE 45th St APT 8,Redmond,WA,98052
478,49061900,11024 166th Pl NE,Redmond,WA,98052
479,2101281374,10176 156th Court Ne #102,Redmond,WA,98052
480,61260773,9006 229th Pl NE,Redmond,WA,98053
481,84759563,17401 NE 116th Way,Redmond,WA,98052
482,84757164,16693 NE 121st Way,Redmond,WA,98052
483,49088921,18312 NE 20th St,Redmond,WA,98052
484,48843844,3213 175TH Ct NE,REDMOND,WA,98052
485,48763312,14014 NE 71st Pl,Redmond,WA,98052
486,48948450,8412 139th Ave NE,Redmond,WA,98052
487,96664266,12455 240th Pl NE,Redmond,WA,98053
