,zpid,street,city,state,zipcode
108,15152646,2851 25th St,San Francisco,CA,94110
109,2101168133,80 Alvarado Street,San Francisco,CA,94110
110,2101737500,76 Alvarado Street,San Francisco,CA,94110
111,15151302,1041 Florida St,San Francisco,CA,94110
112,15181858,3790 Cesar Chavez,San Francisco,CA,94110
113,59779743,3310 19th St APT 301,San Francisco,CA,94110
114,2101690926,180 Dolores St APT 7,San Francisco,CA,94103
115,15152416,1219 York St,San Francisco,CA,94110
116,15143880,66 Rondel Pl,San Francisco,CA,94103
117,15149401,1623 18th St,San Francisco,CA,94107
118,15150649,615 Wisconsin St,San Francisco,CA,94107
119,80748857,999 16th St APT 17,San Francisco,CA,94107
120,2101979807,301 Rhode Island Street #B-20,San Francisco,CA,94103
121,59740781,1129 Carolina St # B,San Francisco,CA,94107
122,15152105,2225 23rd St APT 404,San Francisco,CA,94107
123,15148916,131-133 Arkansas St,SAN FRANCISCO,CA,94107
124,89239205,451 Kansas St UNIT 419,San Francisco,CA,94107
125,2119578259,1319 19th St,San Francisco,CA,94107
126,2101331127,1408 31st Ave APT 303,San Francisco,CA,94122
127,2105094570,1524-1526 48th Ave,San Francisco,CA,94122
128,15108557,1619 38th Ave,San Francisco,CA,94122
129,15108348,1627 42nd Ave,San Francisco,CA,94122
130,15104680,3300 Kirkham St,San Francisco,CA,94122
131,15105368,1482 23rd Ave,San Francisco,CA,94122
132,15104120,4737 Irving St,San Francisco,CA,94122
133,15104006,1314 45th Ave,San Francisco,CA,94122
134,15107831,1558 45th Ave,San Francisco,CA,94122
135,15105047,1415-1417 28TH Ave,SAN FRANCISCO,CA,94122
136,15108483,1642 41st Ave,San Francisco,CA,94122
137,15104061,1347 46th Ave,San Francisco,CA,94122
138,15120947,2339 37th Ave,San Francisco,CA,94116
139,15108502,1619 39th Ave,San Francisco,CA,94122
140,15114023,1979 42nd Ave,San Francisco,CA,94116
141,15121204,2300 43rd Ave,San Francisco,CA,94116
142,15112791,2300 Ortega St,San Francisco,CA,94122
143,15109202,1666 25th Ave,San Francisco,CA,94122
144,15104270,1471 45th Ave,San Francisco,CA,94122
145,15101285,3630-3632 Irving St,SAN FRANCISCO,CA,94122
146,15116909,2150 46th Ave,San Francisco,CA,94116
147,15104815,2915 Judah St,San Francisco,CA,94122
148,15120937,2433 Santiago St,San Francisco,CA,94116
149,15107370,1579 33rd Ave,San Francisco,CA,94122
150,15164692,731 Ellsworth St,San Francisco,CA,94110
151,15164451,80 Crescent Ave,San Francisco,CA,94110
152,15162019,3663 Folsom St,San Francisco,CA,94110
153,15164105,4136 Folsom St,San Francisco,CA,94110
154,15163224,431 Gates St,San Francisco,CA,94110
155,15163959,456 Nevada St,San Francisco,CA,94110
156,15162852,365 Banks St,San Francisco,CA,94110
157,15161199,24 Fair Ave,San Francisco,CA,94110
158,15184329,114-116 Saint Marys Ave,SAN FRANCISCO,CA,94112
159,15163338,473 Andover St,San Francisco,CA,94110
160,68041908,400 Presidio St,San Pablo,CA,94806
161,15072674,2131 Vallejo St APT 3,San Francisco,CA,94123
162,2101302590,2063 Broadway Street,San Francisco,CA,94115
163,15073535,1925 Pacific Ave APT 3,San Francisco,CA,94109
164,15072555,2447 Vallejo St APT 2,San Francisco,CA,94123
165,63196659,2117 Broadway St,San Francisco,CA,94115
166,15074767,2299 Sacramento St APT 21,San Francisco,CA,94115
167,15073236,2200 Pacific Ave APT 6D,San Francisco,CA,94115
168,2101590881,2263 - 2269 Sacramento Street,San Francisco,CA,94115
169,64971640,1221 Harrison St APT 28,San Francisco,CA,94103
170,15148778,50 Lucerne St APT 7,San Francisco,CA,94103
171,2101168558,506 Natoma St,San Francisco,CA,94103
172,64969833,140 S Van Ness Ave UNIT 721,San Francisco,CA,94103
173,2101666476,481 Clementina Street #A,San Francisco,CA,94103
174,69820048,773 Tehama St UNIT 2,San Francisco,CA,94103
175,2101519135,325 Berry St. #106,San Francisco,CA,94158
176,89240389,888 7th St # L19,San Francisco,CA,94107
177,83152810,1160 Mission St UNIT 511,San Francisco,CA,94103
178,80739922,260 King St UNIT 273,San Francisco,CA,94107
179,80731555,321 Langton St UNIT 12,San Francisco,CA,94103
180,69819538,250 King St UNIT 746,San Francisco,CA,94107
181,80748498,175 Bluxome St UNIT 109,San Francisco,CA,94107
182,80730936,601 4th St UNIT 121,San Francisco,CA,94107
183,15147476,469 Clementina St APT 7,San Francisco,CA,94103
184,15132172,990 Corbett Ave,San Francisco,CA,94131
185,15132175,998 Corbett Ave,San Francisco,CA,94131
186,64969129,587 Corbett Ave,San Francisco,CA,94114
190,24870600,146 Nottingham Dr,Alameda,CA,94502
213,24871750,176 Purcell Dr,Alameda,CA,94502
233,15607249,69 Lycett Cir,Daly City,CA,94015
234,54569509,677 Bellevue Ave,Daly City,CA,94014
235,15464521,28 Nancy Ln,Daly City,CA,94014
236,15468069,224 3rd Ave,Daly City,CA,94014
237,15463205,480 Hanover St,Daly City,CA,94014
238,15470674,425 Westmoor Ave,Daly City,CA,94015
239,15462972,232 Acton St,Daly City,CA,94014
240,15460156,267 Miriam St,Daly City,CA,94014
241,15474570,60 Saint Michaels Ct,Daly City,CA,94015
242,15466408,31 Werner Ave,Daly City,CA,94014
243,15607260,7 Lycett Ct,Daly City,CA,94015
244,15620475,349 Philip Dr APT 204,Daly City,CA,94015
245,15604713,238 Alta Vista Way,Daly City,CA,94014
246,15463879,336 Rio Verde St,Daly City,CA,94014
247,15622094,374 Imperial Way APT 8,Daly City,CA,94015
248,15468902,300 Valley St,Daly City,CA,94014
249,15474122,95 Longview Dr,Daly City,CA,94015
250,15464610,33 Skyline Dr,Daly City,CA,94015
