,bathrooms,bedrooms,finishedsqft,numrooms,yearbuilt,price,trans_score,walkscore_score
146,3.0,4,1822,5,1941,998000,60,63
147,1.0,2,800,4,1944,748000,60,74
148,2.0,3,1200,5,1928,,62,74
149,3.0,,2024,6,1931,,61,79
150,1.5,3,1387,8,1945,1500000,74,80
151,1.0,4,1155,5,1942,,80,83
152,3.5,3,2080,7,1962,1950000,75,88
153,1.0,3,1244,5,1947,1250000,74,83
154,1.0,2,900,5,1900,1099000,75,88
155,2.0,4,1800,8,1955,1800000,72,82
156,1.0,,1120,7,1909,,74,86
157,1.0,3,1200,6,1910,699000,83,95
158,2.0,4,2500,11,1907,,82,83
159,2.0,,1600,8,1928,,76,88
160,2.5,2,1438,6,2005,,78,95
161,1.0,1,1100,5,1900,,89,97
162,4.0,3,2300,,1946,8000000,91,95
163,2.0,3,1634,6,1918,2200000,93,95
164,1.5,2,1314,5,1923,1999000,85,92
165,3.0,4,4200,9,2003,5500000,91,95
166,2.0,3,1380,6,1913,,86,97
167,2.0,2,1850,5,1962,1690000,91,95
168,,,9880,,1900,8900000,86,97
169,2.0,1,1185,,2004,975000,100,96
170,1.0,1,1050,,1995,,100,91
171,,,2009,,1910,,100,97
172,2.0,2,1160,,2002,1100000,100,96
173,2.0,2,,,,,100,95
174,2.0,2,1529,,2006,1500000,100,95
175,2.5,2,1630,,,1499500,97,75
176,2.0,3,1200,6,2007,1159000,92,85
177,1.0,1,765,3,2008,1049000,100,97
178,1.0,1,746,3,2004,,100,92
179,2.0,2,1124,4,1999,899000,100,93
180,2.0,2,1083,4,2004,998000,100,92
181,1.0,2,855,3,1998,906260,100,92
182,2.0,2,1497,,1916,1575000,100,94
183,1.0,1,582,3,1993,750000,100,96
184,3.0,5,2788,10,1947,2495000,64,58
185,2.0,3,1177,6,1947,,67,41
186,3.0,4,2943,7,2002,3490000,79,57
190,3.0,5,2663,10,1988,,31,23
213,3.0,3,2107,6,1985,,30,45
233,2.0,3,1240,6,1979,,0,25
234,3.0,4,2280,8,2001,,0,74
235,2.5,4,2180,7,1999,,0,29
236,1.0,2,1020,5,1952,,48,85
237,1.0,2,1110,5,1929,,64,72
238,3.0,5,2100,8,1966,848888,0,48
239,1.0,3,1450,6,1928,,60,77
240,3.0,5,2080,10,1927,,0,86
241,2.5,3,1450,6,1973,,0,58
242,1.0,2,1000,5,1947,,41,85
243,2.0,3,1240,6,1979,,0,35
244,2.0,3,1242,6,1975,544888,0,69
